"","time","type","ser","eye_pos","brow_pos","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"1.1",0,"E",1,-1.24500507143901,-0.641070476567204,-54.4814093378116,-102.379281866564,-101.147915483756,-146.654514615681,-119.273709110262,-164.911144922442,61.7379440215671,103.035772793176,100.272537263666,149.395715810767,113.527825671559,160.87817977578,17.0878081103072,15.3532601916596,33.2809939287857,10.8960060849402,-43.6740265143416,-63.5322316145708,19.1709227959145,21.7784864011791,37.7892954732312,21.6407843189755,-28.7536654742578,-41.0376337018228
"1.2",1,"E",1,-1.24915199475256,-0.635076085100522,-54.4189726896307,-102.27765096758,-101.045576208566,-146.793905805691,-119.282314932593,-164.950205456126,61.7361467082774,103.032609265104,100.240898767461,149.471553074595,113.440647389349,160.846770855401,17.15891148955,15.4081702345232,33.3199369521825,10.7548511189162,-43.6447792586084,-63.5948673047396,19.2042323163811,21.7548174359264,37.7879765759118,21.5942415552334,-28.7486378327492,-40.9948532825275
"1.3",2,"E",1,-1.21118935118361,-0.646238249323191,-53.7028973451758,-102.862125961079,-101.48709694015,-146.371163508859,-118.911854636377,-164.971057206449,60.7979225755617,103.427340868458,100.303520147019,150.825214505864,112.70510222746,160.247095273728,17.0454337344498,14.5976796859955,34.3051971467784,10.4594887571031,-43.6713649912344,-63.6600406746179,19.1916933561449,21.8783803131274,38.5778825959078,20.8168582034452,-28.8739652508141,-40.6672428762857
"1.4",3,"E",1,-1.20117778387024,-0.659132376558747,-52.1550591464215,-101.912188103245,-100.77192985234,-147.534966956051,-117.932541110823,-166.839807466322,61.4476136450305,103.51303627708,99.4186701471094,150.947326019716,111.781822886391,160.038023659877,17.2939333745115,14.7675527380743,34.1089429159612,9.74421601971411,-43.1699659853419,-64.1265781515484,19.5049465317928,21.6152139460542,38.5570919980818,21.3247013756324,-28.6487658753862,-40.9712888875458
"1.5",4,"E",1,-1.19622790236607,-0.721550524101128,-52.7007886989372,-102.654779687518,-101.781601583515,-147.768326757146,-118.278177769085,-164.775572644339,60.5858716033021,103.360846032371,99.5640030250817,151.551425394419,112.251618783174,160.645482302192,16.5272308201025,14.9778677618357,34.0026433755129,9.70706649717189,-43.2414469864829,-62.7808179459796,19.1028714148855,21.9088568286862,38.3517453835696,21.0832344068176,-28.4726981044776,-41.1665534516416
"1.6",5,"E",1,-1.1905157187822,-0.737767995949076,-53.6566555451332,-102.416515292175,-101.531919145005,-147.756365993967,-118.305450727548,-164.743537419236,60.7443888422002,103.001755500805,99.5149657103774,152.085647856303,112.771464303184,160.292221910196,16.3295453361378,14.8898108999102,34.0394395311074,9.68578688536471,-43.1360175845669,-62.6556231174609,18.867117751981,22.0932693347856,38.2503114476801,20.3634723931401,-27.8842181316922,-40.8428947463872
"1.7",6,"E",1,-1.20335288580431,-0.750797081341481,-53.6606062530687,-102.411841582988,-101.505734628692,-147.102874523362,-117.589199334531,-165.665255565075,61.0226760231199,102.948067446171,99.3151079962113,152.903256961761,111.875570854892,159.870832605562,16.4303252843419,14.8888228799309,33.8842348289484,9.30349519565271,-42.8934064248015,-63.0213485904911,19.070529172938,22.5024237547594,39.2826638932871,20.2017296171331,-28.1518739403258,-41.4975956713738
"1.8",7,"E",1,-1.16893748791288,-0.759344431275212,-53.4417299363496,-102.842195777842,-101.329639195986,-147.31729933396,-117.997285479163,-165.268430862998,61.0621070443711,102.947065459128,99.43670215341,152.170726063344,112.806001699257,159.77397816679,16.0329448276614,14.7889552561428,33.4656726867468,10.1983282069413,-43.2161835004132,-62.7588859627652,19.1586495066799,22.5599871028557,39.0757086297625,20.4266229787537,-28.1762943242582,-41.5555054081072
"1.9",8,"E",1,-1.21611890463232,-0.732785790658756,-54.0127526371548,-102.843746701633,-101.635153841268,-146.777117937667,-118.361767056608,-164.650097832561,60.5998172484833,102.249374757755,98.8310872746307,152.29394609544,113.268702682319,161.037707948266,16.3309157754525,14.0370452963841,33.8554030837352,10.7742612620518,-43.1754440239446,-62.4792780111916,18.5160348505505,22.8824439528932,38.427225409285,20.2595506047937,-28.1373817872499,-41.2907764127609
"1.10",9,"E",1,-1.1697404461035,-0.716163444340263,-53.6778168126475,-102.080988537533,-100.757005347746,-145.877279216361,-119.431053002018,-166.424838307499,61.4741871734279,102.78428593586,99.74058673438,151.604205290118,112.189297368584,160.456418721436,15.7890102500677,14.5390115060029,34.0652720067295,10.3760123354127,-44.1313172868585,-62.5935874617279,18.5895373738937,22.2821850888217,38.78302204388,20.1440639426045,-28.3781431811352,-39.4650666176912
"1.11",10,"E",1,-0.46768055875715,-0.728079124938668,-54.3260986805186,-104.183993521798,-104.122891813514,-145.358654989487,-118.521671805988,-163.79208217567,61.1493293805672,105.091938751078,104.103997172721,149.378761598379,111.330517052916,159.250849031313,15.5827417070162,19.3549073350846,28.999688346277,12.6825734508542,-43.6283991995198,-64.1128472995978,16.4499270959132,27.291946045196,35.2767820673454,20.4482145764492,-29.1156684496893,-39.2298656753285
"1.12",11,"E",1,1.33557042083766,-0.577910059162158,-55.3045145540114,-100.481069111916,-98.352993713549,-144.794325862392,-118.794134595775,-164.951138668182,59.1126458777384,104.71531136778,101.550546226599,147.685477113366,112.026944978443,157.587250941899,12.5266583897828,29.3776311274043,35.0860536247793,9.29301418414473,-48.8286841875128,-68.8163738567453,14.1685418923309,33.1571176435835,39.1385089678253,20.657640743421,-32.4330166158506,-43.327091913163
"1.13",12,"E",1,1.62097631947657,-1.02993553575623,-53.9047480387594,-99.2819515020135,-98.5863763138078,-144.069420613292,-118.90819837303,-166.949207952118,59.4294959375007,102.286000598079,98.7529836039933,144.394852216786,115.061811237906,161.774759198756,8.68312355190922,28.7179881077809,35.9807893173388,10.0277274797077,-47.9005356401746,-66.3890820887415,14.1433452809691,32.5004248618801,38.9056077431873,22.2122158703663,-32.7497395807274,-44.1318649034961
"1.14",13,"E",1,1.5249160934069,-1.06187000962048,-53.6762034788659,-98.1046091878829,-96.8552117681075,-143.115927660035,-122.073899293332,-169.186880007009,60.2022721838076,101.95121726378,99.9655422259626,141.748634376823,116.488214164198,162.656851180662,9.09247934728715,28.7696574575027,33.786585334117,9.76008306293428,-46.7200523869933,-66.0598773654594,12.8249366304026,30.9364770224783,36.3150948268473,20.8178666274603,-28.3983586384792,-41.1248919180984
"1.15",14,"E",1,1.47119920685752,-1.54573998797425,-53.5012040668374,-98.3866445013652,-97.217809300717,-139.756512061748,-122.382648455267,-173.655656326439,60.8239606503824,101.469782541789,99.4631539945797,141.087110343392,118.547633264339,163.508833917892,6.14558173854388,25.39865613107,33.3925219644489,10.0043964311767,-43.5835417386696,-63.6443939471192,12.7238441585181,28.88421136418,34.0599970039114,19.2697814080796,-26.9988398026649,-35.6522147114746
"1.16",15,"E",1,1.42360106500118,-1.93452069831525,-53.4297555585855,-99.974224256918,-98.8170939397499,-138.919497985688,-122.983066546135,-173.180395895211,61.1416580170071,98.7202886755839,97.9334479891437,142.448787783875,120.913605651423,166.146246065255,4.68420767262806,23.1144335936378,29.9177603260629,10.8303490457138,-40.2388635266486,-60.1773101849919,12.2661774347895,26.2518983753432,32.2497425404593,14.0422809897801,-20.4450246369975,-32.4956516297752
"1.17",16,"E",1,1.58427401534605,-1.96399780907355,-52.8276159221341,-100.847400322839,-99.2425236861664,-138.88081128063,-125.134788483833,-171.841608309145,61.5157556182809,100.459792471266,98.4498740782769,143.332200292304,119.269892608569,165.74723293605,4.31352498926003,24.0036755856247,28.9994273323848,9.33889723152406,-39.9765054888409,-58.7501843284874,11.857485412878,25.1657286337552,29.2759279379845,14.5335577380579,-18.869449430196,-29.892085613944
"1.18",17,"E",1,0.478854687562194,-0.831277128875404,-56.8788177137381,-99.2632505397681,-96.988997028854,-136.436797782576,-126.030588418878,-172.63121012589,64.8361657316894,104.50110904259,99.2846258550452,143.757645316758,114.685134807826,161.164980855795,12.7214788211169,25.582371466198,32.1061152083859,10.8687277673326,-46.585047035709,-65.7560687407946,10.2786345359263,23.1863394146839,31.1370005103637,19.1191652731032,-24.6109918200853,-28.0477254005214
"1.19",18,"E",1,-1.25251628793097,-0.104105710006672,-80.4199074252514,-71.7898877656823,-94.5683641749828,-55.9998655195701,18.6548410872898,54.461095803086,-67.3891463446538,58.1360438277366,69.8922474099924,66.4444337816354,50.2329761517442,52.3455331686559,54.7605253268531,17.8803125556498,18.5577718372901,-18.2206639963002,24.4277189421251,-28.1337868383137,-2.24588837717752,-12.6717900902749,-7.79431923983995,-17.6906002627815,-9.21373805934456,-19.6555417978833
"1.20",19,"E",1,0.074621140739968,0.882146007215222,-52.8007715601127,-49.8890755276496,-50.4334646193378,-48.6613242624856,-49.6575469981902,-45.9490544450602,-71.0758170801897,78.2430541406102,66.9676758042148,78.4950960274698,66.559702349468,78.201526171263,-6.58514830047149,-5.26485132579579,-7.37756324822165,-5.61151270633645,2.64067346484553,3.56712110448318,-8.89784002000152,-54.2186086760697,95.6491770001938,-54.2408102244185,94.6205444756584,-54.2811815438658
"1.21",20,"E",1,2.35942342609383,-1.03284838264155,-65.6007210655336,-107.786651824753,-110.156445614958,-149.831589476602,-107.496303615736,-148.620275713635,61.7962066540563,104.877272665193,102.718482578267,149.513697835569,117.093600727697,153.492726850436,29.4370178674664,-3.73271658594176,48.8075823696652,16.7346860789009,-35.7077570266368,-71.7478216935226,19.6704963808058,-4.75564192980039,43.8899722544547,10.3626248623847,-29.5915199640178,-23.3669226137584
"1.22",21,"E",1,1.74488598152454,1.74352768981314,-49.7808018509142,-97.0571858735267,-93.500083594782,-130.503144250918,-120.923143707073,-156.681488516334,58.325024825884,98.720491868507,95.1994602869394,144.858667420623,104.061680150608,147.280523240986,35.1536579845176,5.21194623045096,51.6303770044099,23.3815775854206,-71.8963268256882,-77.8784904017005,33.2989707215805,11.5269480395452,64.3276325951305,41.7274563993442,-52.7171570279737,-63.7665923050368
"1.23",22,"E",1,0.60097039871594,1.60678414901478,-51.8204532525305,-90.9050327287585,-95.3528088761823,-135.335995320019,-114.784657014048,-149.530440045997,55.1196080258101,99.6175507047513,92.4843581988373,142.333399966115,98.6675023046361,149.506968037386,33.7574167244111,12.2373153499195,54.3783296747716,25.9953166498439,-75.7576120399759,-81.3291821831153,35.0840166279954,19.0854480619763,63.8469801648114,44.8415083697502,-64.9418544924864,-67.1976829079018
"1.24",23,"E",1,0.279395807402294,1.68131197950603,-54.8499621451937,-92.8508924992915,-99.1561544430383,-134.17120996028,-107.440265598414,-144.46309300071,53.5253341186534,98.2985316600402,91.8846944060683,138.412926006922,98.8136388477114,151.996452607533,36.6408710576399,16.3616183333307,53.3954063561905,26.8084564312435,-76.9611811540353,-82.1346899409494,40.8587449132137,19.7362036051979,62.7965890087753,44.4020362646267,-73.6576817860093,-68.2463730892243
"1.25",24,"E",1,0.429350790506609,1.21108402150703,-55.6964788253031,-92.6912419799976,-98.6399910545786,-134.767690054135,-106.451645386483,-144.125078384832,50.9787762841258,98.71375955298,91.5604411102876,137.759588478995,99.5481836338748,153.811376625067,35.9550330697226,13.6895346770512,53.0555883706593,27.8704566358912,-74.1227289471724,-80.9919799682991,39.5357916755529,19.4973438703928,63.6662848656554,46.2453266530081,-76.2783247597986,-68.1223261426634
"1.26",25,"E",1,0.214030945075128,1.12467706158485,-56.316462227947,-92.2008814007747,-98.5488565471849,-135.369622384088,-107.577415429582,-142.643929790754,51.530368635672,99.672536909334,90.482460264919,136.832503916978,99.3713901469543,154.767907906474,35.284490881421,14.8161679354173,54.1857079737984,26.7592530381173,-75.4110820101196,-79.4334799768149,39.8670256628778,18.3501352830225,63.1446845446341,46.4964053269865,-78.155638888631,-65.9036697707091
"1.27",26,"E",1,0.34792676436714,1.126968538623,-56.0894593876445,-92.914007857372,-99.4258589631538,-134.855947981167,-107.419340924655,-143.178380878618,50.5211129862506,99.3575063185668,91.2424864931945,138.781554522622,100.304273944557,153.676061727421,34.8741534375322,13.4285552258372,54.1720026193129,27.6040052566986,-75.0278241666125,-79.4155539747318,39.2147918687315,16.7462314423862,63.8864253661565,46.582595142721,-75.1440462955451,-66.9213359224864
"1.28",27,"E",1,0.562352175358442,1.11433308118807,-55.6067278327005,-92.6371027933486,-99.6226281455182,-136.16006893219,-104.954962618263,-143.543256172541,50.2615011372487,100.806398200369,92.0348120833449,139.809007973232,99.4780811587266,150.134945941641,35.8382455142762,12.5984253101552,54.0053518423437,26.417172434033,-74.42739519514,-79.4809142098315,39.0778282630016,17.8568641748352,64.8061454566614,48.0855803244496,-75.1163866381848,-69.6609172765986
"1.29",28,"E",1,0.804032426705878,1.23616936891123,-55.4872291648074,-92.3855624807527,-99.118550316353,-136.962219192142,-105.75079320448,-145.089252165101,51.9101472631267,101.007384514755,94.5968936253871,142.592939185051,97.3881472072528,147.298094728065,36.4983295052974,11.5386509523816,52.9031482195604,25.2838863459992,-75.1147927663742,-79.4536586701379,40.4918367306555,17.9840935531218,65.1577488278075,46.2335159476767,-70.8926750589598,-70.6300835870281
"1.30",29,"E",1,0.782134028963089,1.08625053805054,-53.5875196376268,-94.0741317671574,-99.1545582647081,-135.85433901309,-107.308083456238,-147.56040032815,54.7619528812956,101.514785620614,94.5751389882118,142.390051032502,97.9172033280635,146.379900616283,34.351691804122,9.69608900417922,52.0632395674816,24.946295406131,-74.2041754344919,-77.9735423830356,41.6505115474704,17.7113474087361,65.3217328070935,46.4357958660664,-68.7456025318723,-71.25338306188
"1.31",30,"E",1,0.971784622364208,1.0576028576312,-54.1679232650475,-95.6332701410192,-99.9379663123025,-136.741553218446,-108.915864132067,-145.573922646746,54.0632773930485,102.19881835586,94.9743102480863,143.511335707209,98.0699756313162,148.152782380108,33.0436290620936,7.64034821238742,53.1046686445067,25.0940297415684,-73.136940707804,-75.8788396676633,39.5000957820283,16.4831985702691,64.8500175550873,46.4132028878618,-68.331784582539,-68.7816254977962
"1.32",31,"E",1,0.979580431632586,1.05928421133527,-54.3803992646252,-94.8159301830199,-100.405700321458,-138.414655740248,-108.372041878214,-146.902373325726,54.852392379387,101.057742513341,94.8689689473971,143.692565867142,100.665647025647,148.153783980379,32.856177961437,7.64018345521362,53.1606069245891,25.4117404474082,-73.0449679719593,-75.8314747280822,39.6427877057216,16.420330522316,64.0655159086349,43.8790642632337,-67.5492198779633,-66.6507446105492
"1.33",32,"E",1,0.933811814767521,1.15880460549789,-54.8070712060996,-95.1295867242978,-100.919075243427,-137.262235301694,-109.159343695891,-146.945940821708,53.961336130702,103.063823268892,94.7878401009065,143.010280638899,100.844432869992,148.555539983727,34.0235314666057,8.96118989479903,52.9446703030726,25.2892027850077,-73.1292953580872,-77.5243303677976,40.5658026099408,16.6436996397359,61.7603290808444,42.8173670180523,-65.9764000980725,-66.3757669741
"1.34",33,"E",1,0.765764862305041,1.29381899491163,-53.7751484802017,-95.6577220918464,-100.9677659306,-136.40426312587,-108.851306170071,-147.452150747473,55.4288064458298,101.97530161188,95.8019221453294,142.072215529967,100.063120984576,147.76698982848,34.418528158708,10.5527017577745,53.4108886113796,26.1561609416794,-75.1390632025402,-78.3991937210484,37.2173055122652,16.8991299003637,63.7922526123566,42.8762204632256,-66.9341927803526,-64.8507382538111
"1.35",34,"E",1,-0.013622948005866,1.58313835528363,-53.8499720182942,-94.5865454253683,-96.7308449170908,-135.425400938402,-108.287107388224,-147.265298366211,56.074012718615,103.08741837029,97.4071274930716,141.757357786554,96.1490160931137,141.670236591948,34.0630638643422,16.5815684733758,51.859380398998,27.0993593692864,-80.1837792319968,-81.7744186385734,35.6471672732771,25.4288164358377,64.9837195427324,43.7486670542639,-68.3733643134752,-69.0801802280676
"1.36",35,"E",1,-0.179398240270846,1.25288731059082,-54.6253654711068,-95.3584388096895,-96.9598095484596,-136.476296628519,-110.253968565866,-151.489633307903,57.1871533507573,102.025528772518,99.2173061348313,142.744959217268,97.9371026023338,146.051462253836,32.5804064006547,16.5878285991555,49.2045395632485,26.4317670764741,-76.3672830520856,-80.8597650566895,33.0136480038986,30.3391165660819,59.7722508885117,39.2035809520807,-66.1351476639924,-63.7709422773377
"1.37",36,"E",1,-0.308461064377572,0.871155352316881,-58.5727266845336,-97.7955500680034,-96.4409170340504,-139.010242855925,-112.705634787273,-157.191351398748,57.6859537670903,103.369749073174,101.644100269289,141.511741164603,104.188901689926,153.31597686445,29.438634502228,15.8545607469875,45.3147123461654,23.8859029393521,-70.2773877209881,-74.9721182535825,30.8649435536363,25.1645395637826,52.0600774992049,36.7021324924162,-59.6986043395274,-54.3373933296746
"1.38",37,"E",1,-0.237678775270686,0.367522438869633,-58.506247861125,-99.7189774512405,-98.1424126104772,-140.935851230474,-112.196133564772,-160.29464281137,58.9881879641578,102.76484303409,101.445068332078,142.574449827536,108.140738347654,155.880978023943,27.0854180987467,13.3112536973045,42.8566648489302,22.4744406654293,-63.5080670927842,-71.5573959922764,27.4080306070989,24.7590352891681,46.4019489442158,38.2439305752801,-54.4750766052315,-53.0001830358813
"1.39",38,"E",1,-0.470384190133145,-0.0250595928892628,-59.6032311215097,-100.927689815442,-100.483099000806,-140.854167434819,-112.823852241084,-160.962330260813,58.7327041348063,104.880363361722,101.96380138961,144.811875357086,108.618141061833,156.647484569417,24.3391585645403,13.0505094648255,39.6449316093205,20.9277089904626,-59.1490877337211,-69.3420810296214,27.6743507268212,24.0609486900772,45.6574675625329,35.0233635782223,-50.1426751991947,-51.7445952242647
"1.40",39,"E",1,-0.376163653082479,-0.258992688016341,-59.5436070138471,-100.950756238288,-100.113375493592,-143.244222593266,-114.119147799564,-161.487856673613,58.699282997689,104.602156482957,102.296490961214,145.774365048304,110.541549251588,157.545121070418,23.2715982653293,12.0510986670843,38.7554542033644,18.6826535673933,-54.7817050658463,-67.9650037063168,26.1001609293519,23.2673355277988,43.2514606289116,33.8584264917148,-46.4673096317325,-50.0241698770526
"1.41",40,"E",1,-0.524263701126196,-0.0174738198230763,-58.5475036203724,-100.812665154895,-100.112729413731,-143.46348508576,-115.010775961189,-162.27916409406,60.8431745723293,105.397747831219,102.856103248416,146.289515143718,109.302546667308,155.537235867017,22.6355626490049,13.4502316203029,38.1749667081813,18.2703901967543,-56.9970109936541,-68.0342322395395,28.3534830380779,23.320439833417,42.9235782703711,31.5024369308956,-44.4381162765358,-49.1617297372756
"1.42",41,"E",1,-0.29429240972292,-0.0901656570555404,-61.3394268547562,-100.337687868367,-100.493210324717,-142.902713828554,-115.36761992458,-161.858213727711,62.1153856137059,106.590010861195,104.674994622749,145.504892315504,109.191574404052,154.22201471148,22.0602520682569,11.6948485564678,36.8196969482752,18.9444431552223,-55.1242548263753,-68.1311244287646,29.6387093647066,24.6618444584659,41.3725436111849,32.0129241485768,-43.4646767481681,-50.4852063078482
"1.43",42,"E",1,-0.276850938139431,-0.177843472954711,-60.9167167381827,-100.39813500305,-99.8396693079985,-141.716859329154,-117.776608268588,-163.317364674302,63.7698958273785,106.776951633509,104.620484201238,146.418497733718,107.85781909419,154.521704831241,20.957588885813,10.91959206512,36.2322426341391,16.9138830599647,-53.7252873864933,-66.7536692143252,28.833421534398,24.3879363473576,42.2354730603056,30.782157548473,-41.3844556169269,-49.3988829178249
"1.44",43,"E",1,-0.223377988255552,-0.0242948300004553,-62.1855394850718,-100.833368035479,-100.823966925679,-143.953280740661,-116.773930682226,-161.072164184994,63.6288851120269,105.469248167199,103.238977640041,147.048638177943,108.318440955296,157.938060001607,23.0043060080185,12.8522157098491,35.0899118366691,16.0297873798979,-52.8929519234316,-65.468206251443,24.7855446030651,25.1010263421619,40.7686111116192,30.0363895829081,-41.9991804638384,-47.3074539354759
"1.45",44,"E",1,-0.614154362364177,-0.236634620031791,-60.5831539841493,-101.135403976966,-100.304848266371,-143.791336994441,-117.977389897227,-162.205509713904,63.0684361002906,104.964907121898,102.447961279868,146.926972327252,109.680054362024,158.909311641726,20.8332756103449,13.8616928640153,33.9284791717124,15.9420025933842,-51.4993541271178,-65.0436418347616,24.7524932653408,25.7204563056135,39.07274652013,29.675519942577,-40.1777602781274,-47.0659100331114
"1.46",45,"E",1,-0.863711735201826,-0.363478417699672,-58.7920971377327,-101.338016449411,-101.550713177398,-143.949305032801,-118.433533774475,-163.141954449309,64.3698039196825,106.065091273635,104.329800575429,147.087008694435,108.205640843863,157.148274714082,19.3263464600358,14.3343623975224,32.465146905305,15.5760745939861,-50.7974911201928,-65.0402869578457,25.4333188394427,24.1079372324924,40.0014351779832,28.6660381940135,-37.5403849880332,-46.5324967347093
"1.47",46,"E",1,-0.606084124347108,-0.446415828339543,-59.1047728635363,-102.063443140925,-101.916286036166,-143.700201903565,-119.914423134854,-162.631999565618,64.6776407078448,105.819406612145,103.902035697724,147.146297436665,109.58156933092,158.204176859364,19.9107427708565,12.937462153623,30.5276763911384,16.3263491995983,-48.4886302249086,-64.0036726203939,22.5519423010511,25.2812167284136,37.5530788020281,28.4441228256822,-36.8307935310893,-44.2094947959987
"1.48",47,"E",1,-0.75044381018644,-0.546273617894281,-58.3210323028065,-103.145254330423,-101.999523990947,-142.89484180018,-120.849781049061,-163.834514024986,65.456678461349,105.453703036741,103.556613445046,146.651905194743,112.058032413702,157.868014946823,18.5634596275377,13.0495836969371,30.8744837014911,15.002849558091,-47.2737451973829,-62.9977763094274,21.5234976132367,23.8980213555763,36.542698795223,27.1767832175752,-33.6899643548894,-42.6698917039685
"1.49",48,"E",1,-0.879882703319151,-0.698124037374861,-57.7122632357089,-103.145339169839,-102.223168013037,-144.903676269452,-120.106703278755,-163.399554523801,64.397307448276,104.860088996904,103.787521814343,146.997803489539,111.272006916983,160.175975824548,17.8432588375448,13.2457628893549,29.7751621610831,12.8526799705269,-46.0715142115187,-60.8054941349496,23.5107532960303,24.421201865162,36.6287198119859,23.8646272101363,-32.6691819710559,-42.5959757243003
